Date,Low,High,Close,Open
2024-05-10,166.3200,168.0700,167.1500,167.1300
2024-05-13,166.7600,168.0600,167.5600,167.5000
2024-05-14,166.4800,168.1300,167.3600,167.8600
2024-05-15,167.3400,168.3500,168.2600,167.9400
2024-05-16,167.7900,169.6300,168.9700,168.2600
2024-05-17,167.3300,169.1100,169.0300,168.9700
2024-05-20,168.3800,170.1600,169.9200,169.0000
2024-05-21,169.9400,174.9700,173.4700,169.9400
2024-05-22,172.7600,174.9900,173.6900,173.3900
2024-05-23,170.4350,175.4600,170.6700,175.3900
2024-05-24,170.2100,172.0100,170.8900,171.4800
2024-05-28,168.6500,171.0850,169.6600,170.4400
2024-05-29,166.2100,168.6300,167.0500,168.0000
2024-05-30,164.2300,166.7300,165.6300,165.5600
2024-05-31,163.8400,166.9700,166.8500,165.7000
2024-06-03,163.5300,166.7800,165.2800,166.5400
2024-06-04,163.8800,166.4000,165.8100,164.6000
2024-06-05,165.7800,167.7900,167.3800,166.4100
2024-06-06,166.8000,168.4400,168.2000,167.3800
2024-06-07,168.0600,171.3050,170.0100,168.1800
2024-06-10,168.8800,170.7600,170.3800,169.5500
2024-06-11,166.8100,170.0000,169.3200,169.9800
2024-06-12,168.1010,172.4700,169.0000,171.3500
2024-06-13,168.3350,169.5900,169.1200,169.0100
2024-06-14,167.2300,169.4700,169.2100,168.2900
2024-06-17,167.5000,169.7200,169.5000,168.7600
2024-06-18,168.3800,170.7500,170.5500,170.0000
2024-06-20,171.2200,174.2800,173.9200,174.0800
2024-06-21,171.4000,174.9600,172.4600,173.9700
2024-06-24,174.1500,178.4599,175.0100,175.0000
2024-06-25,171.4200,175.7526,172.6000,175.1400
2024-06-26,170.4100,172.6800,171.8700,171.2800
2024-06-27,170.4800,172.5000,170.8500,171.1200
2024-06-28,170.5300,173.4600,172.9500,170.8500
2024-07-01,173.3800,176.4600,175.1000,173.4500
2024-07-02,174.3200,177.4850,177.3000,174.8400
2024-07-03,175.1700,177.9800,175.7300,177.8800
2024-07-05,173.9500,176.0900,176.0200,175.7400
2024-07-08,176.0100,178.5900,177.6400,176.4100
2024-07-09,175.5800,177.7000,176.4800,177.6000
2024-07-10,174.4500,178.2200,177.8400,176.6000
2024-07-11,176.6200,179.4400,178.3100,177.6500
2024-07-12,178.5000,184.1600,182.8300,178.5600
2024-07-15,182.6000,184.9000,182.8800,183.3800
2024-07-16,184.5200,186.6000,185.8100,184.6700
2024-07-17,185.0700,187.9400,187.4500,185.4400
2024-07-18,185.1000,189.4700,185.2200,186.6400
2024-07-19,181.9500,187.0000,183.2500,186.3300
2024-07-22,182.8600,184.9700,184.1500,183.4000
2024-07-23,183.0100,185.3800,184.1000,184.3600
2024-07-24,183.1450,185.0714,184.0200,184.1400
2024-07-25,185.3000,196.2600,191.9800,186.8000
2024-07-26,189.6220,193.5700,191.7500,190.5100
2024-07-29,189.1800,193.2900,191.5000,193.1800
2024-07-30,189.0900,192.7700,191.0400,191.4800
2024-07-31,189.9900,194.5499,192.1400,191.0000
2024-08-01,188.2900,193.6350,189.6600,192.8100
2024-08-02,185.7000,189.2600,189.1200,188.7800
2024-08-05,181.8100,185.2550,183.3100,184.5500
2024-08-06,183.6400,188.9000,186.8000,184.7000
2024-08-07,186.7000,189.8700,186.8000,188.0800
2024-08-08,187.0000,192.8800,192.6100,187.5000
2024-08-09,189.0400,192.6300,191.4500,191.1800
2024-08-12,189.0001,191.5761,189.4800,191.2500
2024-08-13,189.2100,191.3100,190.9900,190.2900
2024-08-14,190.7300,193.0900,192.3200,191.1500
2024-08-15,193.2800,194.2500,193.9500,193.5100
2024-08-16,192.8600,194.3500,193.7800,193.5800
2024-08-19,193.7150,195.5250,194.7300,193.8400
2024-08-20,193.7500,196.2100,196.0300,194.5900
2024-08-21,194.1150,197.3300,197.2100,195.9700
2024-08-22,195.5700,197.9200,195.9600,197.2500
2024-08-23,194.3900,197.3800,196.1000,196.7900
2024-08-26,195.9000,198.3450,197.9800,196.0000
2024-08-27,196.9700,199.4000,198.7300,197.4400
2024-08-28,197.4900,200.0000,198.4600,199.0000
2024-08-29,198.2700,201.1200,198.9000,199.3000
2024-08-30,198.7300,202.1700,202.1300,199.1100
2024-09-03,200.2100,204.7200,201.2800,201.9100
2024-09-04,200.5000,204.3600,204.1100,200.7600
2024-09-05,200.9600,205.9500,202.5900,204.0800
2024-09-06,199.3350,204.1000,200.7400,202.3800
2024-09-09,201.4300,205.0500,203.5300,201.9400
2024-09-10,202.8700,205.8300,205.3200,204.2000
2024-09-11,203.0400,210.1200,209.8900,207.7600
2024-09-12,208.2650,212.6500,211.6100,210.0000
2024-09-13,212.1300,216.0900,214.7900,212.4800
2024-09-16,215.5200,217.9000,217.1600,215.8800
2024-09-17,213.0000,218.8400,214.1300,217.2500
2024-09-18,213.5900,216.8600,214.9400,214.1300
2024-09-19,210.3700,218.4800,213.8900,218.0100
2024-09-20,213.7400,217.8500,217.7000,214.3300
2024-09-23,217.2700,220.6200,220.5000,218.0000
2024-09-24,218.1600,221.1900,220.9700,219.7800
2024-09-25,220.1600,221.8500,221.2300,221.1700
2024-09-26,221.3550,224.0000,223.4300,222.1100
2024-09-27,220.7700,224.1500,220.8400,223.0000
2024-09-30,219.0200,221.3200,221.0800,220.6500
2024-10-01,215.9000,221.1000,219.3500,220.6300
2024-10-02,215.7980,220.2000,219.7300,218.3100
